Age,Date,Tm,Home,Opp,Win,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
33-299,2018-10-25,LAL,H,DEN,W,1,35,10,17,.588,9,12,.750,1,5,.200,7,10,.700,0,11,11,11,3,0,2,3,28,29.7
33-301,2018-10-27,LAL,A,SAS,L,1,34,13,21,.619,11,15,.733,2,6,.333,7,8,.875,1,10,11,4,2,0,4,3,35,28.4
33-303,2018-10-29,LAL,A,MIN,L,1,36,11,23,.478,8,17,.471,3,6,.500,4,5,.800,3,7,10,8,2,2,5,2,29,24.3
33-305,2018-10-31,LAL,H,DAL,W,1,39,11,19,.579,9,16,.563,2,3,.667,5,7,.714,0,5,5,6,3,0,3,3,29,23.8
33-308,2018-11-03,LAL,A,POR,W,1,31,9,20,.450,8,15,.533,1,5,.200,9,11,.818,0,5,5,7,0,2,3,1,28,21.2
33-309,2018-11-04,LAL,H,TOR,L,1,28,6,12,.500,4,9,.444,2,3,.667,4,7,.571,0,2,2,6,0,1,3,3,18,12.1
33-312,2018-11-07,LAL,H,MIN,W,1,39,10,21,.476,7,12,.583,3,9,.333,1,2,.500,1,10,11,9,0,2,3,1,24,20.9
33-315,2018-11-10,LAL,A,SAC,W,1,31,10,18,.556,7,12,.583,3,6,.500,2,3,.667,1,6,7,2,1,0,3,2,25,17.1
33-316,2018-11-11,LAL,H,ATL,W,1,34,10,20,.500,7,11,.636,3,9,.333,3,7,.429,3,4,7,4,2,0,4,1,26,18.1
33-319,2018-11-14,LAL,H,POR,W,1,36,13,19,.684,8,13,.615,5,6,.833,13,15,.867,2,8,10,9,1,3,4,0,44,44.3
33-322,2018-11-17,LAL,A,ORL,L,1,26,8,19,.421,5,13,.385,3,6,.500,3,4,.750,0,4,4,7,0,1,3,0,22,15.3
33-323,2018-11-18,LAL,A,MIA,W,1,38,19,31,.613,13,23,.565,6,8,.750,7,10,.700,1,7,8,3,2,1,2,3,51,40.1
33-326,2018-11-21,LAL,A,CLE,W,1,36,11,20,.550,9,14,.643,2,6,.333,8,12,.667,2,12,14,7,0,1,4,3,32,26.2
33-328,2018-11-23,LAL,H,UTA,W,1,35,8,17,.471,6,12,.500,2,5,.400,4,6,.667,1,9,10,7,2,1,5,1,22,18.1
33-330,2018-11-25,LAL,H,ORL,L,1,40,8,14,.571,6,7,.857,2,7,.286,6,11,.545,0,4,4,7,0,1,6,4,24,14.6
33-332,2018-11-27,LAL,A,DEN,L,1,30,5,15,.333,5,11,.455,0,4,.000,4,6,.667,0,7,7,2,2,2,4,0,14,7.6
33-334,2018-11-29,LAL,H,IND,W,1,38,15,27,.556,13,20,.650,2,7,.286,6,10,.600,1,8,9,7,2,0,4,2,38,28.7
33-335,2018-11-30,LAL,H,DAL,W,1,31,12,21,.571,10,17,.588,2,4,.500,2,4,.500,2,3,5,4,0,1,4,3,28,17.9
33-337,2018-12-02,LAL,H,PHO,W,1,31,9,17,.529,8,12,.667,1,5,.200,3,4,.750,0,6,6,8,0,1,5,0,22,16.4
33-340,2018-12-05,LAL,H,SAS,W,1,40,15,24,.625,12,17,.706,3,7,.429,9,13,.692,0,5,5,6,2,0,2,1,42,34.9
